Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,0.9908892768280355,0.0065530453600489615,zmax;s1;s2,0.6659808895703627;0.13899559993466812;0.23063258964290606
liebig_monod_rmin,5,0.9913181058283312,0.09104009091972241,zmax;s1;s2;R1min;R2min,0.672743197540149;0.13436380031491643;0.22473657146525017;0.03893642343515629;0.019023478390226403
liebig_hill,5,0.991254467092054,0.03916434489586074,zmax;s1;s2;n1;n2,0.6881299339819891;0.13022456514993092;0.22338800257199276;0.9381692621058558;0.9936626339220881
liebig_hill_rmin,7,0.9916973071173752,0.8631803699431022,zmax;s1;s2;n1;n2;R1min;R2min,0.6685518283815882;0.13558716335209567;0.2273594763428164;0.9786668153017939;1.0894478090281847;0.021051930054356443;0.05759374523357447
liebig_blackman,3,0.9252145336778569,1.655427450635986e-108,zmax;s1;s2,0.5544062250453715;0.055157656856293806;0.10534428743890979
liebig_blackman_rmin,5,0.9549591350802641,2.3857759487495874e-84,zmax;s1;s2;R1min;R2min,0.5544062250453715;0.04835173235281608;0.09697316195386495;0.7741142280004129;0.2545138477996361
liebig_bertalanffy,3,0.9882002968121318,6.977299240494982e-16,zmax;s1;s2,0.5460290590950921;0.1620373366174928;0.2709425394423716
liebig_bertalanffy_rmin,5,0.9906982393699871,3.16176884757361e-05,zmax;s1;s2;R1min;R2min,0.5535512642478402;0.1510168640096735;0.2573417172872738;0.11455424829520838;0.05394730751937238
multiplicative_monod,3,0.9718180622810532,1.4899242270945668e-59,zmax;s1;s2,0.6478264759423856;0.3139498218815108;0.6015850543479501
multiplicative_monod_rmin,5,0.971923889760932,1.2198026113813106e-60,zmax;s1;s2;R1min;R2min,0.6506703600906243;0.30698549715645024;0.5955490888321958;0.022754973350010317;0.007593370959053015
multiplicative_hill,5,0.9723166359925258,6.207651123962296e-60,zmax;s1;s2;n1;n2,0.6345176598496639;0.3118180591155017;0.6348299331612064;0.997023839836554;1.1047450721278886
multiplicative_hill_rmin,7,0.9736162391092075,8.739848002834011e-59,zmax;s1;s2;n1;n2;R1min;R2min,0.6081327521371103;0.31318888983639004;0.5586495019672489;1.0472046839448441;1.4670548232062268;0.0441958310048619;0.21785609332300765
multiplicative_blackman,3,0.9221987145626898,1.7211757810015825e-110,zmax;s1;s2,0.5083132772001534;0.15678353285925384;0.20965028491711357
multiplicative_blackman_rmin,5,0.9277204945787572,4.4973182465108175e-108,zmax;s1;s2;R1min;R2min,0.5378773269376164;0.08385003707000149;0.17947366621203142;1.2992692475051357;0.536231272322593
multiplicative_bertalanffy,3,0.9693280424667599,8.43635535502195e-64,zmax;s1;s2,0.5205799327367373;0.3696300610314901;0.6508195085744485
multiplicative_bertalanffy_rmin,5,0.9723950653583437,8.614686497731794e-60,zmax;s1;s2;R1min;R2min,0.5274657336011611;0.3365302811344282;0.6055020488326589;0.14843540785712492;0.08169148873401597
pat,3,0.9903824020312558,1.260674492278211e-05,zmax;s1;s2,0.683249592642523;0.1461508862217999;0.251589777605237
pat_rmin,5,0.9906524170481572,1.7923946749165008e-05,zmax;s1;s2;R1min;R2min,0.68886583558682;0.14229171413785718;0.24730709862438924;0.03172023667097448;0.012793952838215826
additive,3,0.9859421290090351,1.148388994392548e-24,zmax;s1;s2,0.7024950003722531;0.16326562991041071;0.2935090606196651
additive_rmin,5,0.9860092734932616,1.0584130134611637e-25,zmax;s1;s2;R1min;R2min,0.7052702117767317;0.16091438772189082;0.2924064731395384;0.016781447481049108;0.003183673793972199
mankad_bungay,3,0.9894797303417745,3.987436164688211e-10,zmax;s1;s2,0.677431159815491;0.11141341073483464;0.18309783672259206
mankad_bungay_rmin,5,0.9895690195547358,5.657875045871347e-11,zmax;s1;s2;R1min;R2min,0.6802884598343271;0.1098458597340514;0.1810767783464725;0.01548525833349744;0.0073415895401326495
generalized_mean,4,0.988325271482305,5.476274399535134e-16,zmax;s1;s2;q,0.6132377595963302;0.12752581806662502;0.2204204629405727;1.3428562846749688
generalized_mean_rmin,6,0.9896809918739911,4.57939593065758e-11,zmax;s1;s2;q;R1min;R2min,0.5960422575190342;0.1090521214912586;0.18997430470551818;1.5441116264587658;0.09798311981588355;0.04686333754294374
saito_sub,3,0.4130839092489079,7.486306068004017e-212,zmax;s1;s2,0.3080373040134568;0.0977716232971556;0.001721578988736515
saito_sub_rmin,5,0.4130839085437198,3.96895413200977e-213,zmax;s1;s2;R1min;R2min,0.30804126178466334;0.09776601146801706;0.0017218587464046396;1.2382829331064856e-32;5.109648656185368e-32
mean_monod_sub,3,0.5995821351602548,1.1336904632580842e-192,zmax;s1;s2,0.42809994422451964;0.09173028270521426;0.07685964640783519
mean_monod_sub_rmin,5,0.5995821350918638,6.010395438494298e-194,zmax;s1;s2;R1min;R2min,0.42810019069359423;0.09173076829133472;0.07685914414850938;3.997189979875775e-22;1.307499458601402e-17
chem_depend,3,0.9010404503262153,1.4771748559474045e-122,zmax;s1;s2,0.5804337411247475;0.303782167892812;0.040339764541783875
chem_depend_rmin,5,0.901986870530006,2.3761531957209877e-123,zmax;s1;s2;R1min;R2min,0.5895056920731576;0.2683852228735501;0.045563609392465856;0.10079691756888973;3.657198205913617e-19
